,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,Code,Clim_station,Comments,tas_annual_IMS_min,tas_annual_IMS_min_un,tas_annual_IMS_max,tas_annual_IMS_max_un,tmax_ann_IMS_min,tmax_ann_IMS_min_un,tmax_ann_IMS_max,tmax_ann_max_IMS_un,tmin_ann_IMS_min,tmin_ann_IMS_min_un,tmin_ann_IMS_max,tmin_ann_IMS_max_un,pr_annual_IMS_min,pr_annual_IMS_min_un,pr_annual_IMS_max,pr_annual_IMS_max_un
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.02,2021,2060,NA,15902.02,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.03,2021,2060,NA,15902.03,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.04,2061,2100,NA,15902.04,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.05,2061,2100,NA,15902.05,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.06,2061,2100,NA,15902.06,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.07,2021,2060,NA,15902.07,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.08,2021,2060,NA,15902.08,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.09,2021,2060,NA,15902.09,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.1,2061,2100,NA,15902.1,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.11,2061,2100,NA,15902.11,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15902,15902,159.12,2061,2100,NA,15902.12,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.01,2021,2060,NA,15903.01,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.02,2021,2060,NA,15903.02,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.03,2021,2060,NA,15903.03,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.04,2061,2100,NA,15903.04,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.05,2061,2100,NA,15903.05,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.06,2061,2100,NA,15903.06,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.07,2021,2060,NA,15903.07,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.08,2021,2060,NA,15903.08,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.09,2021,2060,NA,15903.09,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.1,2061,2100,NA,15903.1,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.11,2061,2100,NA,15903.11,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15903,15903,159.12,2061,2100,NA,15903.12,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.01,2021,2060,NA,15904.01,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.02,2021,2060,NA,15904.02,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.03,2021,2060,NA,15904.03,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.04,2061,2100,NA,15904.04,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.05,2061,2100,NA,15904.05,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.06,2061,2100,NA,15904.06,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.07,2021,2060,NA,15904.07,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.08,2021,2060,NA,15904.08,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.09,2021,2060,NA,15904.09,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.1,2061,2100,NA,15904.1,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.11,2061,2100,NA,15904.11,,,,,,,,,,,,,,,,,,
"Shrestha & Wang, 2018",159,Great Slave Lake,15904,15904,159.12,2061,2100,NA,15904.12,,,,,,,,,,,,,,,,,,
