,Publication_ID,Drainage Basin,Location_ID,Hist_ref_code,Method_ID,Future Time Range_start,Future Time Range_end,Hist_code,DJFSflo,DJFSflo_un,MAMSflo,MAMSflo_un,JJASflo,JJASflo_un,SONSflo,SONSflo_un,IMS_50_DJF_strflo,unit,IMS_50_MAM_strflo,unit,IMS_50_JJA_strflo,unit,IMS_50_SON_strflo,unit,MAM_water_supply,unit,JJA_water_supply,unit,DJFRunoff,DJFRunoff_un,MAMRunoff,MAMRunoff_un,JJARunoff,JJARunoff_un,SONRunoff,SONRunoff_un,Runoff_MAM_medflowyr,Runoff_MAM_medflowyr_un,DJFET,DJFET_un,MAMET,MAMET_un,JJAET,JJAET_un,SONET,SONET_un,DJFAET,DJFAET_un,MAMAET,MAMAET_un,JJAAET,JJAAET_un,SONAET,SONAET_un,SONRech,SONRech_un,DJFRech,DJFRech_un,MAMRech,MAMRech_un,JJARech,JJARech_un,DJFSoilWat,DJFSoilWat_un,MAMSoilWat,MAMSoilWat_un,JJASoilWat,JJASoilWat_un,SONSoilWat,SONSoilWat_un
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.01,2021,2060,NA,-4,%,-61,%,44,%,25,%,,,,,,,,,,,,,,,,,,,,,,,41,%,8,%,24,%,25,%,,,,,,,,,,,,,,,,,-2,%,-4,%,6,%,4,%
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.02,2061,2100,NA,3,%,-55,%,63,%,38,%,,,,,,,,,,,,,,,,,,,,,,,51,%,12,%,36,%,44,%,,,,,,,,,,,,,,,,,-2,%,-4,%,5,%,3,%
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.03,2021,2060,NA,-2,%,-58,%,50,%,23,%,,,,,,,,,,,,,,,,,,,,,,,62,%,7,%,26,%,32,%,,,,,,,,,,,,,,,,,-1,%,-3,%,5,%,4,%
"Shrestha et al., 2017",158,Great Slave Lake,15801,15801,158.04,2061,2100,NA,9,%,-17,%,76,%,99,%,,,,,,,,,,,,,,,,,,,,,,,60,%,31,%,54,%,63,%,,,,,,,,,,,,,,,,,-5,%,-4,%,1,%,-2,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.01,2021,2060,NA,18,%,-10,%,23,%,20,%,,,,,,,,,,,,,,,,,,,,,,,,,4,%,20,%,8,%,,,,,,,,,,,,,,,,,-12,%,-6,%,4,%,3,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.02,2061,2100,NA,57,%,2,%,30,%,48,%,,,,,,,,,,,,,,,,,,,,,,,,,18,%,28,%,18,%,,,,,,,,,,,,,,,,,3,%,-1,%,2,%,11,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.03,2021,2060,NA,18,%,-7,%,27,%,19,%,,,,,,,,,,,,,,,,,,,,,,,,,9,%,19,%,8,%,,,,,,,,,,,,,,,,,-10,%,-6,%,1,%,1,%
"Shrestha et al., 2017",158,Great Slave Lake,15802,15802,158.04,2061,2100,NA,45,%,15,%,6,%,27,%,,,,,,,,,,,,,,,,,,,,,,,,,36,%,25,%,16,%,,,,,,,,,,,,,,,,,3,%,-3,%,-17,%,-9,%
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.01,2021,2060,NA,48,%,48,%,48,%,48,%,,,,,,,,,,,,,,,,,,,,,,,,,11,%,15,%,20,%,,,,,,,,,,,,,,,,,5,%,5,%,14,%,15,%
"Shrestha et al., 2017",158,Great Slave Lake,15803,15803,158.02,2061,2100,NA,97,%,9,%,55,%,,%,,,,,,,,,,,,,,,,,,,,,,,,,21,%,18,%,30,%,,,,,,,,,,,,,,,,,16,%,12,%,10,%,21,%
