PubID,Citation,Document Type,Data Recorded from Supplementary Information,Supplementary Information,Comments
121,"Paradis, D., H. Vigneault, R. Lefebvre, M. M. Savard, J.-M. Ballard, and B. Qian. 2016. ""Groundwater nitrate concentration evolution under climate change and agricultural adaptation scenarios: Prince Edward Island, Canada."" Earth System Dynamics 7: 183-202. doi: 10.5194/esd-7-183-2016",Journal article,NO,,
122,"Payne, J. T., A. W. Wood, A. F. Hamlet, R. N. Palmer, and D. P. Lettenmaier. 2004. ""Mitigating the effects of climate change on the water resources of the Columbia River Basin."" Climatic Change 62: 233-256.",Journal article,NO,,
123,"Perez-Valdivia, C. 2016. ""Stream flow simulation of a Canadian Prairie watershed: Assessment of the impact of wetland drainage and climate change on the hydrology of the Pipestone Creek, Saskatchewan."" PhD. diss., University of Regina.",Thesis,NO,,
124,"Persaud, E., J. Levison, S. MacRitchie, S. J. Berg, A. R. Erler, B. Parker, and E. Sudicky. 2020. ""Integrated modelling to assess climate change impacts on groundwater and surface water in the Great Lakes Basin using diverse climate forcing."" Journal of Hydrology 584. doi: 10.1016/j.jhydrol.2020.124682",Journal article,NO,,
127,"Pohl, S., P. Marsh, and B. R. Bonsal. 2007. ""Modeling the impact of climate change on runoff and annual water balance of an Arctic headwater basin."" Arctic 60 (2): 173-186. ",Journal article,NO,,
129,"Pryse-Phillips, A. 2010. ""Modeling the effects of climate change on streamflow in a sub-basin of the Lower Churchill River, Labrador."" Master of Engineering, Memorial University of Newfoundland.",Thesis,NO,,
131,"Quilbé, R., A. N. Rousseau, J.-S. Moquet, N. B. Trinh, Y. Dibike, P. Gachon, and D. Chaumont. 2008. ""Assessing the effect of climate change on river flow using general circulation models and hydrological modelling - application to the Chaudière River, Québec, Canada."" Canadian Water Resources Journal / Revue canadienne des ressources hydriques 33 (1): 73-94.",Journal article,NO,,
132,"Rahman, M., T. Bolisetti, and R. Balachandar. 2012. ""Hydrologic modelling to assess the climate change impacts in a Southern Ontario watershed."" Canadian Journal of Civil Engineering 39: 91-103. doi: 10.1139/L11-112",Journal article,NO,,
133,"Rasouli, K., J. W. Pomeroy, and P. H. Whitfield. 2019. ""Hydrological responses of headwater basins to monthly perturbed climate in the North American Cordillera."" Journal of Hydrometeorology 20: 863-882. doi: 10.1175/JHM-D-18-0166.1",Journal article,NO,,
134,"Rasouli, K. 2017. ""Sensitivity analysis of mountain hydrology to changing climate."" PhD. diss., University of Saskatchewan.",Thesis,NO,,
137,"Rivard, C., C. Paniconi, M. J. Gauthier, G. François, M. Sulis, M. Camporese, M. Larocque, and D. Chaumont. 2008. ""A modeling study of climate change impacts on recharge and surface-groundwater interactions for the Thomas Brook catchment (Annapolis Valley, Nova Scotia)."" In Proceedings of GeoEdmonton, Canadian Geotechnical Society - International Association of Hydrogeologists - Canadian National Chapter Joint Annual Conference, 1389-1396. Edmonton.",Conference proceeding,NO,,
138,"Rivard, C., C. Paniconi, H. Vigneault, and D. Chaumont. 2014. ""A watershed-scale study of climate change impacts on groundwater recharge (Annapolis Valley, Nova Scotia, Canada)."" Hydrological Sciences Journal 59 (8): 1437-1456. doi: 10.1080/02626667.2014.887203",Journal article,NO,,
140,"Roberts, J., A. Pryse-Phillips, and K. Snelgrove. 2012. ""Modeling the potential impacts of climate change on a small watershed in Labrador, Canada."" Canadian Water Resources Journal / Revue canadienne des ressources hydriques 37 (3): 231-251. doi: 10.4296/cwrj2011-923",Journal article,NO,,
141,"Rokaya, P., D. L. Peters, M. Elshamy, S. Budhathoki, and K.-E. Lindenschmidt. 2019. ""Impacts of future climate on the hydrology of a northern headwaters basin and its implications for a downstream deltaic ecosystem."" Hydrological Processes 34: 1630-1646. doi: 10.1002/hyp.13687",Journal article,NO,,
142,"Saha, G. C. 2015. ""Climate change induced precipitation effects on water resources in the Peace region of British Columbia, Canada."" Climate 3: 264-282. doi: 10.3390/cli3020264",Journal article,NO,,
